threads,vertices,avg_total_ms,speedup,efficiency
1,1000,33.9050,1.0000,1.0000
2,1000,55.3750,0.6123,0.3061
4,1000,26.2200,1.2931,0.3233
8,1000,36.4100,0.9312,0.1164
1,5000,152.1400,1.0000,1.0000
2,5000,122.3450,1.2435,0.6218
4,5000,102.1900,1.4888,0.3722
8,5000,99.1150,1.5350,0.1919
1,10000,316.4750,1.0000,1.0000
2,10000,251.9450,1.2561,0.6281
4,10000,216.3450,1.4628,0.3657
8,10000,251.9250,1.2562,0.1570
1,20000,735.4850,1.0000,1.0000
2,20000,595.0550,1.2360,0.6180
4,20000,516.0800,1.4251,0.3563
8,20000,614.5800,1.1967,0.1496
