threads,vertices,edges,avg_total_ms,best_total_ms,avg_accuracy,avg_f1,throughput_edges_per_ms
1,1000,5988,33.8700,31.7700,0.7700,0.7600,176.793623
2,1000,5988,22.5550,22.0200,0.7700,0.7600,265.484372
4,1000,5988,19.3100,18.2100,0.7700,0.7600,310.098395
8,1000,5988,20.6600,18.8700,0.7700,0.7600,289.835431
1,5000,29988,142.4800,139.4800,0.8100,0.7900,210.471645
2,5000,29988,156.3500,117.1300,0.8100,0.7900,191.800448
4,5000,29988,113.3750,106.6000,0.8100,0.7900,264.502756
8,5000,29988,121.6550,107.7800,0.8100,0.7900,246.500349
1,10000,59988,325.3450,296.6000,0.8100,0.8000,184.382732
2,10000,59988,265.1450,250.4000,0.8100,0.8000,226.246016
4,10000,59988,228.4250,227.0200,0.8100,0.8000,262.615738
8,10000,59988,229.8550,223.4500,0.8100,0.8000,260.981923
1,20000,119988,860.3450,793.6900,0.8200,0.8100,139.464982
2,20000,119988,672.0700,619.5300,0.8200,0.8100,178.534974
4,20000,119988,533.9100,520.1700,0.8200,0.8100,224.734506
8,20000,119988,551.1100,544.3100,0.8200,0.8100,217.720600
